,address,damage,date,cause,longitude,latitude
67,入間町２－２,床下浸水,1976/09/09,昭和５１年台風１７号,139.58371499999998,35.651531
68,仙川町１－２３,床上浸水,1976/09/09,昭和５１年台風１７号,139.588176,35.659483
69,仙川町１－３２,床下浸水,1976/09/09,昭和５１年台風１７号,139.58908300000002,35.660484000000004
70,仙川町１－３３,床下浸水,1976/09/09,昭和５１年台風１７号,139.589203,35.659791
71,仙川町１－９,床下浸水,1976/09/09,昭和５１年台風１７号,139.584131,35.6605
72,若葉町１－１２,床下浸水,1976/09/09,昭和５１年台風１７号,139.580497,35.658526
73,若葉町２－１５,床下浸水,1976/09/09,昭和５１年台風１７号,139.588448,35.658381
74,若葉町３－２,床下浸水,1976/09/09,昭和５１年台風１７号,139.582555,35.654653
75,深大寺元町２－６,床下浸水,1976/09/09,昭和５１年台風１７号,139.550341,35.66187
76,深大寺元町４－３８,床下浸水,1976/09/09,昭和５１年台風１７号,139.544252,35.672296
77,深大寺南町３－１４,床下浸水,1976/09/09,昭和５１年台風１７号,139.560908,35.665136
78,深大寺南町４－４１,床下浸水,1976/09/09,昭和５１年台風１７号,0.0,0.0
79,深大寺南町３－１３,床下浸水,1976/09/09,昭和５１年台風１７号,139.560775,35.664634
80,多摩川７－１４,床下浸水,1979/10/19,昭和５４年台風２０号,139.539991,35.642203
81,入間町１－６,床下浸水,1981/10/22,昭和５６年台風２４号,139.585329,35.651802
82,染地３－４,床下浸水（隣地の宅地造成に伴う）,1999/08/14,集中豪雨,139.5574,35.639035
83,調布ケ丘１－２０,道路冠水,1999/08/14,集中豪雨,139.54594,35.656093
84,富士見町３－１１,道路冠水,2005/09/04,集中豪雨,139.538399,35.662862
85,富士見町３－２１,道路冠水,2005/09/04,集中豪雨,139.542145,35.660409
86,富士見町３－７,床上浸水（店舗に浸水とのこと）・道路冠水,2005/09/04,集中豪雨,139.539711,35.662393
87,下石原３－２７,地下室浸水（半地下居室あり）,2005/09/04,集中豪雨,139.530931,35.651371999999995
88,下石原３－５７,床下浸水,2005/09/04,集中豪雨,139.53603700000002,35.651334000000006
89,小島町３－２１,トイレ逆流,2005/09/04,集中豪雨,139.536171,35.648219
90,布田４－２９,半地下浸水（駐車場）,2005/09/04,集中豪雨,139.546086,35.648548999999996
91,布田５－５３,地下室浸水,2005/09/04,集中豪雨,139.544024,35.644503
92,布田５－５８,Ｕ字溝蓋なし,2005/09/04,集中豪雨,139.544477,35.644131
93,国領町１－９,床上浸水,2005/09/04,集中豪雨,139.552175,35.651308
94,国領町１－９,地下室浸水,2005/09/04,集中豪雨,139.552175,35.651308
95,国領町３－１３,床下浸水,2005/09/04,集中豪雨,139.56200900000002,35.650515000000006
96,国領町８－１１,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.568467,35.648443
97,国領町８－１３,地下室浸水（半地下駐車場）,2005/09/04,集中豪雨,139.568471,35.647784
98,染地１－１２,冠水・布田小学校の水,2005/09/04,集中豪雨,139.546923,35.642615
99,染地１－１２,床下浸水,2005/09/04,集中豪雨,139.546923,35.642615
100,染地２－２７,冠水。玄関先土嚢,2005/09/04,集中豪雨,139.55430800000002,35.641417
101,染地２－３１,南方多摩川側道路。下水から水があふれる,2005/09/04,集中豪雨,139.553782,35.640457
102,染地２－３２,床下浸水,2005/09/04,集中豪雨,139.553517,35.639594
103,染地２－３３,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.553028,35.638697
104,染地２－３８,下水あふれ，トイレ流れない,2005/09/04,集中豪雨,139.554792,35.641015
105,染地２－４２,低地のため道路から流入・下水逆流,2005/09/04,集中豪雨,139.555432,35.642893
106,染地３－１,道路冠水,2005/09/04,集中豪雨,139.557035,35.639904
107,染地３－１,道路冠水,2005/09/04,集中豪雨,139.557035,35.639904
108,多摩川３－２,道路冠水,2005/09/04,集中豪雨,139.53294499999998,35.648507
109,多摩川３－２４,床下浸水,2005/09/04,集中豪雨,139.531735,35.646936
110,多摩川３－２４,半地下浸水（居室）,2005/09/04,集中豪雨,139.531735,35.646936
111,多摩川３－２５,地下室浸水,2005/09/04,集中豪雨,139.531968,35.647338
112,多摩川３－７０,下水より水があふれた,2005/09/04,集中豪雨,139.530858,35.644068
113,多摩川４－３５,雨水升より水があふれた,2005/09/04,集中豪雨,139.535406,35.643749
114,多摩川６－１２,地下室浸水,2005/09/04,集中豪雨,139.54275,35.643941999999996
115,多摩川６－１６,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.54415600000002,35.643184000000005
116,多摩川６－１６,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.54415600000002,35.643184000000005
117,多摩川６－１８,地下室浸水（居室＋事務所）,2005/09/04,集中豪雨,139.54369499999999,35.6429
118,多摩川７－１７,道路冠水・敷地へ京王テニスコートの水・ゴミ,2005/09/04,集中豪雨,139.540309,35.641872
119,多摩川７－２２,府中用水の増水による敷地内浸水,2005/09/04,集中豪雨,139.54143,35.642146999999994
120,佐須町１－３１,冠水・用水路の越水,2005/09/04,集中豪雨,139.55183200000002,35.662971
121,菊野台２－６０,地下室浸水（地下室の床から１００cm程度）,2005/09/04,集中豪雨,139.56498100000002,35.650686
122,菊野台２－６３,道路冠水（交通規制あり）,2005/09/04,集中豪雨,139.567465,35.649026
123,菊野台３－３２,全面道路冠水（品川道）・普段は冠水なし,2005/09/04,集中豪雨,139.57105,35.653415
124,菊野台３－３９,半地下浸水（居室）,2005/09/04,集中豪雨,139.57273500000002,35.651841
125,菊野台３－３９,冠水・調和小学校水路,2005/09/04,集中豪雨,139.57273500000002,35.651841
126,東つつじケ丘１－１６,床上浸水,2005/09/04,集中豪雨,139.577718,35.66063
127,東つつじケ丘１－１６,床上浸水,2005/09/04,集中豪雨,139.577718,35.66063
128,東つつじケ丘１－１６,床上浸水１．５m,2005/09/04,集中豪雨,139.577718,35.66063
129,東つつじケ丘１－１６,床上浸水・床板張替,2005/09/04,集中豪雨,139.577718,35.66063
130,東つつじケ丘１－１７,床上浸水８０ｃｍ,2005/09/04,集中豪雨,139.577801,35.661063
131,東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨,139.578917,35.658613
132,東つつじケ丘２－１９,床下浸水,2005/09/04,集中豪雨,139.578917,35.658613
133,東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨,139.578917,35.658613
134,東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨,139.578917,35.658613
135,東つつじケ丘２－２０,床上浸水,2005/09/04,集中豪雨,139.57921399999998,35.658167
136,東つつじケ丘２－２０,床上浸水,2005/09/04,集中豪雨,139.57921399999998,35.658167
137,東つつじケ丘２－３９,床下一部浸水,2005/09/04,集中豪雨,139.580608,35.656308
138,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
139,東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨,139.580608,35.656308
140,東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨,139.580608,35.656308
141,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
142,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
143,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
144,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
145,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
146,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
147,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
148,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
149,東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨,139.580608,35.656308
150,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
151,東つつじケ丘２－３９,床上浸水３０cm,2005/09/04,集中豪雨,139.580608,35.656308
152,東つつじケ丘２－３９,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.580608,35.656308
153,東つつじケ丘２－３９,床下浸水（駐車場）,2005/09/04,集中豪雨,139.580608,35.656308
154,東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨,139.580608,35.656308
155,東つつじケ丘２－４０,地下室浸水,2005/09/04,集中豪雨,139.580346,35.656129
156,東つつじケ丘２－４０,床下浸水,2005/09/04,集中豪雨,139.580346,35.656129
157,東つつじケ丘２－４０,床下浸水,2005/09/04,集中豪雨,139.580346,35.656129
158,東つつじケ丘２－４０,床上浸水,2005/09/04,集中豪雨,139.580346,35.656129
159,東つつじケ丘２－４０,床上浸水,2005/09/04,集中豪雨,139.580346,35.656129
160,東つつじケ丘２－４０,地下室浸水,2005/09/04,集中豪雨,139.580346,35.656129
161,西つつじケ丘３－２,地下室浸水（半地下居室あり）,2005/09/04,集中豪雨,139.569549,35.65651
162,西つつじケ丘４－２１,床下浸水,2005/09/04,集中豪雨,139.573012,35.652442
163,西つつじケ丘４－６,床上浸水１cm,2005/09/04,集中豪雨,139.57539599999998,35.657278000000005
164,入間町２－２６,床下浸水（駐車場）,2005/09/04,集中豪雨,139.586646,35.64656
