住所,状況,被害発生日,要因
国領町１－９,床上浸水,2005/09/04,集中豪雨
国領町１－９,地下室浸水,2005/09/04,集中豪雨
国領町３－１３,床下浸水,2005/09/04,集中豪雨
国領町８－１１,地下室浸水（駐車場）,2005/09/04,集中豪雨
国領町８－１３,地下室浸水（半地下駐車場）,2005/09/04,集中豪雨
染地１－１２,冠水・布田小学校の水,2005/09/04,集中豪雨
染地１－１２,床下浸水,2005/09/04,集中豪雨
染地２－２７,冠水。玄関先土嚢,2005/09/04,集中豪雨
染地２－３１,南方多摩川側道路。下水から水があふれる,2005/09/04,集中豪雨
染地２－３２,床下浸水,2005/09/04,集中豪雨
染地２－３３,地下室浸水（駐車場）,2005/09/04,集中豪雨
染地２－３８,下水あふれ，トイレ流れない,2005/09/04,集中豪雨
染地２－４２,低地のため道路から流入・下水逆流,2005/09/04,集中豪雨
染地３－１,道路冠水,2005/09/04,集中豪雨
染地３－１,道路冠水,2005/09/04,集中豪雨
多摩川３－２,道路冠水,2005/09/04,集中豪雨
多摩川３－２４,床下浸水,2005/09/04,集中豪雨
多摩川３－２４,半地下浸水（居室）,2005/09/04,集中豪雨
多摩川３－２５,地下室浸水,2005/09/04,集中豪雨
多摩川３－７０,下水より水があふれた,2005/09/04,集中豪雨
多摩川４－３５,雨水升より水があふれた,2005/09/04,集中豪雨
多摩川６－１２,地下室浸水,2005/09/04,集中豪雨
多摩川６－１６,地下室浸水（駐車場）,2005/09/04,集中豪雨
多摩川６－１６,地下室浸水（駐車場）,2005/09/04,集中豪雨
多摩川６－１８,地下室浸水（居室＋事務所）,2005/09/04,集中豪雨
多摩川７－１７,道路冠水・敷地へ京王テニスコートの水・ゴミ,2005/09/04,集中豪雨
多摩川７－２２,府中用水の増水による敷地内浸水,2005/09/04,集中豪雨
佐須町１－３１,冠水・用水路の越水,2005/09/04,集中豪雨
菊野台２－６０,地下室浸水（地下室の床から１００cm程度）,2005/09/04,集中豪雨
菊野台２－６３,道路冠水（交通規制あり）,2005/09/04,集中豪雨
菊野台３－３２,全面道路冠水（品川道）・普段は冠水なし,2005/09/04,集中豪雨
菊野台３－３９,半地下浸水（居室）,2005/09/04,集中豪雨
菊野台３－３９,冠水・調和小学校水路,2005/09/04,集中豪雨
東つつじケ丘１－１６,床上浸水,2005/09/04,集中豪雨
東つつじケ丘１－１６,床上浸水,2005/09/04,集中豪雨
東つつじケ丘１－１６,床上浸水１．５m,2005/09/04,集中豪雨
東つつじケ丘１－１６,床上浸水・床板張替,2005/09/04,集中豪雨
東つつじケ丘１－１７,床上浸水８０ｃｍ,2005/09/04,集中豪雨
東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－１９,床下浸水,2005/09/04,集中豪雨
東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－２０,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－２０,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床下一部浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－３９,床上浸水３０cm,2005/09/04,集中豪雨
東つつじケ丘２－３９,地下室浸水（駐車場）,2005/09/04,集中豪雨
東つつじケ丘２－３９,床下浸水（駐車場）,2005/09/04,集中豪雨
東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨
東つつじケ丘２－４０,地下室浸水,2005/09/04,集中豪雨
東つつじケ丘２－４０,床下浸水,2005/09/04,集中豪雨
東つつじケ丘２－４０,床下浸水,2005/09/04,集中豪雨
東つつじケ丘２－４０,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－４０,床上浸水,2005/09/04,集中豪雨
東つつじケ丘２－４０,地下室浸水,2005/09/04,集中豪雨
西つつじケ丘３－２,地下室浸水（半地下居室あり）,2005/09/04,集中豪雨
西つつじケ丘４－２１,床下浸水,2005/09/04,集中豪雨
西つつじケ丘４－６,床上浸水１cm,2005/09/04,集中豪雨
