"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","調布市","野水一丁目","","4","9","-35559.3","-27947.4","35.679091","139.524585","1","1","0","0"
"東京都","調布市","上石原三丁目","","13","9","-38445.0","-27910.9","35.653081","139.525089","1","1","0","0"
"東京都","調布市","上石原三丁目","","14","9","-38410.8","-27909.0","35.653390","139.525109","1","1","0","0"
"東京都","調布市","西町","","376","9","-37271.5","-27562.0","35.663669","139.528902","0","1","0","0"
"東京都","調布市","西町","","717","9","-37271.5","-27562.0","35.663669","139.528902","0","1","0","0"
"東京都","調布市","野水二丁目","","3","9","-35039.3","-27761.9","35.683783","139.526618","0","1","0","0"
"東京都","調布市","多摩川一丁目","","8","9","-38783.3","-27862.1","35.650034","139.525640","1","1","0","0"
"東京都","調布市","上石原三丁目","","31","9","-38620.8","-27873.2","35.651498","139.525512","1","1","0","0"
"東京都","調布市","飛田給二丁目","","39","9","-37828.3","-27882.9","35.658641","139.525377","1","1","0","0"
"東京都","調布市","多摩川一丁目","","8","9","-38748.9","-27828.1","35.650345","139.526014","1","0","0","0"
"東京都","調布市","上石原二丁目","","12","9","-37976.4","-27811.5","35.657308","139.526171","1","1","0","0"
"東京都","調布市","上石原二丁目","","11","9","-38004.0","-27791.1","35.657060","139.526397","1","1","0","0"
"東京都","調布市","上石原三丁目","","30","9","-38617.7","-27808.6","35.651528","139.526225","1","1","0","0"
"東京都","調布市","多摩川二丁目","","16","9","-39279.8","-27780.2","35.645560","139.526561","1","1","0","0"
"東京都","調布市","上石原一丁目","","7","9","-37798.9","-27748.6","35.658910","139.526860","1","1","0","0"
"東京都","調布市","上石原二丁目","","45","9","-38368.7","-27722.9","35.653774","139.527162","1","1","0","0"
"東京都","調布市","上石原二丁目","","3","9","-37917.4","-27679.8","35.657844","139.527623","1","1","0","0"
"東京都","調布市","多摩川二丁目","","22","9","-39254.6","-27684.8","35.645790","139.527614","1","1","0","0"
"東京都","調布市","上石原二丁目","","22","9","-38127.8","-27669.4","35.655947","139.527745","1","1","0","0"
"東京都","調布市","上石原二丁目","","25","9","-38081.6","-27641.0","35.656365","139.528057","1","1","0","0"
